"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Person weight (PWGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","Class of worker (COW)","","","","","","","","","",""
"Group","White recode (White alone or in combination with one or more other races)","Total Class of worker (COW)","Not in universe (less than 16 years old/not in labor force (NILF) who last worked more than 5 years ago or never worked)","Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)","State government employee","Federal government employee","Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm","Working without pay in family business or farm","Unemployed and last worked 5 years ago or earlier or never worked"
"","Total","332,387,543","132,688,081","131,487,146","16,951,628","14,563,572","8,184,926","6,580,953","12,562,924","7,464,498","611,910","1,291,905"
" -> No, unspecified","","4,392","1,041","2,394","232","250","106","74","241","22","32","0"
" -> No, unspecified -> Did not report","","1,147","0","888","87","167","0","3","2","0","0","0"
" -> No, unspecified -> Did not report -> No","","1,035","0","826","37","167","0","3","2","0","0","0"
"","No","146","0","106","37","0","0","3","0","0","0","0"
"","Yes","889","0","720","0","167","0","0","2","0","0","0"
" -> No, unspecified -> Did not report -> Yes","","112","0","62","50","0","0","0","0","0","0","0"
"","No","112","0","62","50","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> No","","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> No -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> No -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, unspecified -> Yes","","3,245","1,041","1,506","145","83","106","71","239","22","32","0"
" -> No, unspecified -> Yes -> No","","2,285","694","1,136","97","0","65","0","239","22","32","0"
"","No","593","250","239","46","0","0","0","58","0","0","0"
"","Yes","1,692","444","897","51","0","65","0","181","22","32","0"
" -> No, unspecified -> Yes -> Yes","","960","347","370","48","83","41","71","0","0","0","0"
"","No","960","347","370","48","83","41","71","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, Temporarily Ill","","1,341,497","565,271","489,234","62,525","41,054","18,900","19,097","64,319","23,197","6,612","51,288"
" -> No, Temporarily Ill -> Did not report","","132,982","32,858","68,791","9,263","6,285","3,231","2,329","6,473","2,306","571","875"
" -> No, Temporarily Ill -> Did not report -> No","","107,634","25,960","57,900","6,993","4,719","1,912","1,526","5,491","2,054","496","583"
"","No","15,969","2,684","9,583","832","663","177","347","1,073","308","106","196"
"","Yes","91,665","23,276","48,317","6,161","4,056","1,735","1,179","4,418","1,746","390","387"
" -> No, Temporarily Ill -> Did not report -> Yes","","25,348","6,898","10,891","2,270","1,566","1,319","803","982","252","75","292"
"","No","23,775","6,550","10,209","2,132","1,432","1,262","775","823","226","74","292"
"","Yes","1,573","348","682","138","134","57","28","159","26","1","0"
" -> No, Temporarily Ill -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","0","0","0","0","0","0","0","0","0","0","0"
" -> No, Temporarily Ill -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, Temporarily Ill -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, Temporarily Ill -> No","","884,341","532,215","230,719","30,660","24,521","10,711","10,728","30,692","11,723","2,130","242"
" -> No, Temporarily Ill -> No -> No","","733,855","444,980","191,415","23,784","19,187","8,334","7,211","26,961","10,071","1,796","116"
"","No","65,948","33,957","22,696","2,547","1,796","874","943","1,877","1,041","164","53"
"","Yes","667,907","411,023","168,719","21,237","17,391","7,460","6,268","25,084","9,030","1,632","63"
" -> No, Temporarily Ill -> No -> Yes","","150,486","87,235","39,304","6,876","5,334","2,377","3,517","3,731","1,652","334","126"
"","No","143,115","83,064","37,252","6,531","5,138","2,144","3,392","3,554","1,606","314","120"
"","Yes","7,371","4,171","2,052","345","196","233","125","177","46","20","6"
" -> No, Temporarily Ill -> Yes","","324,174","198","189,724","22,602","10,248","4,958","6,040","27,154","9,168","3,911","50,171"
" -> No, Temporarily Ill -> Yes -> No","","247,868","102","147,553","15,228","7,365","3,560","3,769","22,082","7,404","3,117","37,688"
"","No","44,529","35","25,330","2,830","1,098","665","903","4,678","1,230","610","7,150"
"","Yes","203,339","67","122,223","12,398","6,267","2,895","2,866","17,404","6,174","2,507","30,538"
" -> No, Temporarily Ill -> Yes -> Yes","","76,306","96","42,171","7,374","2,883","1,398","2,271","5,072","1,764","794","12,483"
"","No","70,432","96","38,566","6,934","2,712","1,185","2,096","4,784","1,657","734","11,668"
"","Yes","5,874","0","3,605","440","171","213","175","288","107","60","815"
" -> Did not report","","249,384,847","63,751,545","122,102,377","15,991,303","13,937,187","7,852,077","6,281,448","11,631,448","7,084,143","523,738","229,581"
" -> Did not report -> Did not report","","166,949,897","10,490,191","103,840,893","13,320,975","11,506,131","6,647,458","5,315,433","9,292,268","5,995,379","313,164","228,005"
" -> Did not report -> Did not report -> No","","144,079,949","8,462,402","90,071,231","11,461,790","9,864,281","5,524,127","4,219,607","8,492,513","5,539,022","282,175","162,801"
"","No","23,789,044","1,582,650","15,670,391","1,658,096","1,143,707","813,828","661,060","1,346,087","798,801","63,156","51,268"
"","Yes","120,290,905","6,879,752","74,400,840","9,803,694","8,720,574","4,710,299","3,558,547","7,146,426","4,740,221","219,019","111,533"
" -> Did not report -> Did not report -> Yes","","22,869,948","2,027,789","13,769,662","1,859,185","1,641,850","1,123,331","1,095,826","799,755","456,357","30,989","65,204"
"","No","21,114,419","1,935,520","12,621,906","1,711,236","1,538,761","1,059,074","1,021,077","723,220","414,777","27,471","61,377"
"","Yes","1,755,529","92,269","1,147,756","147,949","103,089","64,257","74,749","76,535","41,580","3,518","3,827"
" -> Did not report -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","0","0","0","0","0","0","0","0","0","0","0"
" -> Did not report -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> Did not report -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> Did not report -> No","","82,240,762","53,228,928","18,148,340","2,658,187","2,423,089","1,200,219","962,059","2,325,746","1,082,952","209,828","1,414"
" -> Did not report -> No -> No","","72,130,573","46,465,755","16,023,296","2,344,853","2,128,791","1,034,459","776,299","2,157,149","1,008,771","190,341","859"
"","No","9,873,502","6,607,557","2,182,508","258,465","188,127","114,990","107,489","254,890","126,990","32,144","342"
"","Yes","62,257,071","39,858,198","13,840,788","2,086,388","1,940,664","919,469","668,810","1,902,259","881,781","158,197","517"
" -> Did not report -> No -> Yes","","10,110,189","6,763,173","2,125,044","313,334","294,298","165,760","185,760","168,597","74,181","19,487","555"
"","No","9,476,928","6,398,061","1,941,496","289,043","277,150","157,042","174,844","153,578","67,694","17,465","555"
"","Yes","633,261","365,112","183,548","24,291","17,148","8,718","10,916","15,019","6,487","2,022","0"
" -> Did not report -> Yes","","194,188","32,426","113,144","12,141","7,967","4,400","3,956","13,434","5,812","746","162"
" -> Did not report -> Yes -> No","","148,396","22,505","88,451","8,799","6,001","3,130","2,386","11,547","4,888","597","92"
"","No","35,174","6,819","20,587","1,858","1,055","753","414","2,558","869","252","9"
"","Yes","113,222","15,686","67,864","6,941","4,946","2,377","1,972","8,989","4,019","345","83"
" -> Did not report -> Yes -> Yes","","45,792","9,921","24,693","3,342","1,966","1,270","1,570","1,887","924","149","70"
"","No","42,270","9,336","22,574","2,988","1,845","1,127","1,497","1,808","876","149","70"
"","Yes","3,522","585","2,119","354","121","143","73","79","48","0","0"
" -> N/A (less than 16 years/at work/not looking)","","64,982,240","64,982,240","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Did not report","","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Did not report -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Did not report -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","64,982,240","64,982,240","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","53,302,260","53,302,260","0","0","0","0","0","0","0","0","0"
"","No","9,726,351","9,726,351","0","0","0","0","0","0","0","0","0"
"","Yes","43,575,909","43,575,909","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","11,679,980","11,679,980","0","0","0","0","0","0","0","0","0"
"","No","9,333,264","9,333,264","0","0","0","0","0","0","0","0","0"
"","Yes","2,346,716","2,346,716","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> No","","0","0","0","0","0","0","0","0","0","0","0"
